source,target,weight
단새우&우니,가쓰오우동,0
단새우&우니,알탕,0
단새우&우니,연어사시미,1
단새우&우니,오뎅나베,0
단새우&우니,메로구이,0
단새우&우니,명란구이,0
단새우&우니,닭가라아케,0
단새우&우니,하루토 삼합,1
단새우&우니,육사시미,0
단새우&우니,오늘의사시미,1
단새우&우니,육회덮밥,0
단새우&우니,진미깡,0
단새우&우니,왕새우 튀김,0
단새우&우니,참다랑어 사시미&슈토,1
단새우&우니,우니추가,1
단새우&우니,단새우,1
단새우&우니,나가사키짬뽕,0
단새우&우니,모나카,0
단새우&우니,육회,0
단새우&우니,먹태구이,0
단새우&우니,새우관자버터야끼,0
단새우&우니,1인사시미,1
단새우&우니,연어머리구이,0
단새우&우니,파인샤벳,0
단새우&우니,우니한판,1
단새우&우니,모듬고로케,0
단새우&우니,타코와사비,0
단새우&우니,도미머리구이,0
단새우&우니,매운해물짬뽕,0
단새우&우니,오늘의초밥,0
단새우&우니,우삼겹숙주볶음,0
단새우&우니,회덮밥,0
가쓰오우동,알탕,1
가쓰오우동,연어사시미,0
가쓰오우동,오뎅나베,1
가쓰오우동,메로구이,0
가쓰오우동,명란구이,0
가쓰오우동,닭가라아케,0
가쓰오우동,하루토 삼합,0
가쓰오우동,육사시미,0
가쓰오우동,오늘의사시미,0
가쓰오우동,육회덮밥,0
가쓰오우동,진미깡,0
가쓰오우동,왕새우 튀김,0
가쓰오우동,참다랑어 사시미&슈토,0
가쓰오우동,우니추가,0
가쓰오우동,단새우,0
가쓰오우동,나가사키짬뽕,1
가쓰오우동,모나카,0
가쓰오우동,육회,0
가쓰오우동,먹태구이,0
가쓰오우동,새우관자버터야끼,0
가쓰오우동,1인사시미,0
가쓰오우동,연어머리구이,0
가쓰오우동,파인샤벳,0
가쓰오우동,우니한판,0
가쓰오우동,모듬고로케,0
가쓰오우동,타코와사비,0
가쓰오우동,도미머리구이,0
가쓰오우동,매운해물짬뽕,1
가쓰오우동,오늘의초밥,0
가쓰오우동,우삼겹숙주볶음,0
가쓰오우동,회덮밥,0
알탕,연어사시미,0
알탕,오뎅나베,1
알탕,메로구이,0
알탕,명란구이,0
알탕,닭가라아케,0
알탕,하루토 삼합,0
알탕,육사시미,0
알탕,오늘의사시미,0
알탕,육회덮밥,0
알탕,진미깡,0
알탕,왕새우 튀김,0
알탕,참다랑어 사시미&슈토,0
알탕,우니추가,0
알탕,단새우,0
알탕,나가사키짬뽕,1
알탕,모나카,0
알탕,육회,0
알탕,먹태구이,0
알탕,새우관자버터야끼,0
알탕,1인사시미,0
알탕,연어머리구이,0
알탕,파인샤벳,0
알탕,우니한판,0
알탕,모듬고로케,0
알탕,타코와사비,0
알탕,도미머리구이,0
알탕,매운해물짬뽕,1
알탕,오늘의초밥,0
알탕,우삼겹숙주볶음,0
알탕,회덮밥,0
연어사시미,오뎅나베,0
연어사시미,메로구이,0
연어사시미,명란구이,0
연어사시미,닭가라아케,0
연어사시미,하루토 삼합,1
연어사시미,육사시미,0
연어사시미,오늘의사시미,1
연어사시미,육회덮밥,0
연어사시미,진미깡,0
연어사시미,왕새우 튀김,0
연어사시미,참다랑어 사시미&슈토,1
연어사시미,우니추가,1
연어사시미,단새우,1
연어사시미,나가사키짬뽕,0
연어사시미,모나카,0
연어사시미,육회,0
연어사시미,먹태구이,0
연어사시미,새우관자버터야끼,0
연어사시미,1인사시미,1
연어사시미,연어머리구이,0
연어사시미,파인샤벳,0
연어사시미,우니한판,1
연어사시미,모듬고로케,0
연어사시미,타코와사비,0
연어사시미,도미머리구이,0
연어사시미,매운해물짬뽕,0
연어사시미,오늘의초밥,0
연어사시미,우삼겹숙주볶음,0
연어사시미,회덮밥,0
오뎅나베,메로구이,0
오뎅나베,명란구이,0
오뎅나베,닭가라아케,0
오뎅나베,하루토 삼합,0
오뎅나베,육사시미,0
오뎅나베,오늘의사시미,0
오뎅나베,육회덮밥,0
오뎅나베,진미깡,0
오뎅나베,왕새우 튀김,0
오뎅나베,참다랑어 사시미&슈토,0
오뎅나베,우니추가,0
오뎅나베,단새우,0
오뎅나베,나가사키짬뽕,1
오뎅나베,모나카,0
오뎅나베,육회,0
오뎅나베,먹태구이,0
오뎅나베,새우관자버터야끼,0
오뎅나베,1인사시미,0
오뎅나베,연어머리구이,0
오뎅나베,파인샤벳,0
오뎅나베,우니한판,0
오뎅나베,모듬고로케,0
오뎅나베,타코와사비,0
오뎅나베,도미머리구이,0
오뎅나베,매운해물짬뽕,1
오뎅나베,오늘의초밥,0
오뎅나베,우삼겹숙주볶음,0
오뎅나베,회덮밥,0
메로구이,명란구이,1
메로구이,닭가라아케,0
메로구이,하루토 삼합,0
메로구이,육사시미,0
메로구이,오늘의사시미,0
메로구이,육회덮밥,0
메로구이,진미깡,0
메로구이,왕새우 튀김,0
메로구이,참다랑어 사시미&슈토,0
메로구이,우니추가,0
메로구이,단새우,0
메로구이,나가사키짬뽕,0
메로구이,모나카,0
메로구이,육회,0
메로구이,먹태구이,0
메로구이,새우관자버터야끼,0
메로구이,1인사시미,0
메로구이,연어머리구이,1
메로구이,파인샤벳,0
메로구이,우니한판,0
메로구이,모듬고로케,0
메로구이,타코와사비,0
메로구이,도미머리구이,1
메로구이,매운해물짬뽕,0
메로구이,오늘의초밥,0
메로구이,우삼겹숙주볶음,0
메로구이,회덮밥,0
명란구이,닭가라아케,0
명란구이,하루토 삼합,0
명란구이,육사시미,0
명란구이,오늘의사시미,0
명란구이,육회덮밥,0
명란구이,진미깡,0
명란구이,왕새우 튀김,0
명란구이,참다랑어 사시미&슈토,0
명란구이,우니추가,0
명란구이,단새우,0
명란구이,나가사키짬뽕,0
명란구이,모나카,0
명란구이,육회,0
명란구이,먹태구이,0
명란구이,새우관자버터야끼,0
명란구이,1인사시미,0
명란구이,연어머리구이,1
명란구이,파인샤벳,0
명란구이,우니한판,0
명란구이,모듬고로케,0
명란구이,타코와사비,0
명란구이,도미머리구이,1
명란구이,매운해물짬뽕,0
명란구이,오늘의초밥,0
명란구이,우삼겹숙주볶음,0
명란구이,회덮밥,0
닭가라아케,하루토 삼합,0
닭가라아케,육사시미,0
닭가라아케,오늘의사시미,0
닭가라아케,육회덮밥,0
닭가라아케,진미깡,0
닭가라아케,왕새우 튀김,1
닭가라아케,참다랑어 사시미&슈토,0
닭가라아케,우니추가,0
닭가라아케,단새우,0
닭가라아케,나가사키짬뽕,0
닭가라아케,모나카,0
닭가라아케,육회,0
닭가라아케,먹태구이,0
닭가라아케,새우관자버터야끼,0
닭가라아케,1인사시미,0
닭가라아케,연어머리구이,0
닭가라아케,파인샤벳,0
닭가라아케,우니한판,0
닭가라아케,모듬고로케,1
닭가라아케,타코와사비,0
닭가라아케,도미머리구이,0
닭가라아케,매운해물짬뽕,0
닭가라아케,오늘의초밥,0
닭가라아케,우삼겹숙주볶음,0
닭가라아케,회덮밥,0
하루토 삼합,육사시미,0
하루토 삼합,오늘의사시미,1
하루토 삼합,육회덮밥,0
하루토 삼합,진미깡,0
하루토 삼합,왕새우 튀김,0
하루토 삼합,참다랑어 사시미&슈토,1
하루토 삼합,우니추가,1
하루토 삼합,단새우,1
