source,target,weight
오늘의사시미,모나카,0.8994368493339339
오늘의사시미,우니한판,0.7850508219760107
오늘의사시미,왕새우 튀김,0.9311185293939975
오늘의사시미,우삼겹숙주볶음,0.913042692176265
오늘의사시미,오늘의초밥,0.9454390881960438
오늘의사시미,닭가라아케,0.9542076474586642
오늘의사시미,나가사키짬뽕,0.935720416727081
오늘의사시미,연어사시미,0.907151510753371
오늘의사시미,명란구이,0.946382655523528
오늘의사시미,파인샤벳,0.9079230072061908
오늘의사시미,먹태구이,0.8977576002284746
오늘의사시미,육사시미,0.9334842131424069
오늘의사시미,알탕,0.9586277901053705
오늘의사시미,가쓰오우동,0.8302296988739486
오늘의사시미,참다랑어 사시미&슈토,0.7941458952664076
오늘의사시미,오뎅나베,0.8674311904454763
오늘의사시미,모듬고로케,0.8704272168579809
오늘의사시미,새우관자버터야끼,0.8878782940730324
오늘의사시미,단새우,0.912793077378688
오늘의사시미,육회,0.8694134792391083
오늘의사시미,육회덮밥,0.8916898932050361
오늘의사시미,단새우&우니,0.8554795429591825
오늘의사시미,타코와사비,0.9017057460585427
오늘의사시미,메로구이,0.879647791334413
오늘의사시미,매운해물짬뽕,0.9028365125667265
오늘의사시미,진미깡,0.9197017524181874
오늘의사시미,1인사시미,0.9476952957383862
오늘의사시미,회덮밥,0.9066157833281121
오늘의사시미,하루토 삼합,0.912814915688709
오늘의사시미,연어머리구이,0.8855634451891669
오늘의사시미,도미머리구이,0.8999583565437013
오늘의사시미,우니추가,0.9428991659219542
모나카,우니한판,0.7430976250469093
모나카,왕새우 튀김,0.9154063003400752
모나카,우삼겹숙주볶음,0.9499152487124324
모나카,오늘의초밥,0.885479149180093
모나카,닭가라아케,0.9228510515852256
모나카,나가사키짬뽕,0.8990933632149951
모나카,연어사시미,0.9414675706050828
모나카,명란구이,0.9171557012201874
모나카,파인샤벳,0.8904370975063669
모나카,먹태구이,0.915532994923858
모나카,육사시미,0.8512220597451431
모나카,알탕,0.9198867177475529
모나카,가쓰오우동,0.7915202321457359
모나카,참다랑어 사시미&슈토,0.7974532431356944
모나카,오뎅나베,0.9530135672914013
모나카,모듬고로케,0.8664883658732281
모나카,새우관자버터야끼,0.8274444823496923
모나카,단새우,0.8716283517271605
모나카,육회,0.8793412502800806
모나카,육회덮밥,0.8820565004603383
모나카,단새우&우니,0.8042260442260443
모나카,타코와사비,0.8393877084761252
모나카,메로구이,0.8648473691663463
모나카,매운해물짬뽕,0.9166353912553951
모나카,진미깡,0.8666434084863285
모나카,1인사시미,0.8860767213514668
모나카,회덮밥,0.8259892086330936
모나카,하루토 삼합,0.8994998503825931
모나카,연어머리구이,0.8325424950447474
모나카,도미머리구이,0.8251342642320088
모나카,우니추가,0.8601280258994923
우니한판,왕새우 튀김,0.7957969710014479
우니한판,우삼겹숙주볶음,0.7532700559095046
우니한판,오늘의초밥,0.7599066775071582
우니한판,닭가라아케,0.7754093467036672
우니한판,나가사키짬뽕,0.8088266477361779
우니한판,연어사시미,0.7668518463503757
우니한판,명란구이,0.7941970831082645
우니한판,파인샤벳,0.8108005243794139
우니한판,먹태구이,0.7809528550804002
우니한판,육사시미,0.773804065413419
우니한판,알탕,0.7839171499064951
우니한판,가쓰오우동,0.82156083765403
우니한판,참다랑어 사시미&슈토,0.7242319578258498
우니한판,오뎅나베,0.7539854277082615
우니한판,모듬고로케,0.7660080555643651
우니한판,새우관자버터야끼,0.8065441106190461
우니한판,단새우,0.80078067462071
우니한판,육회,0.8060750077487344
우니한판,육회덮밥,0.8052514463729418
우니한판,단새우&우니,0.8734965635738833
우니한판,타코와사비,0.8452138492871691
우니한판,메로구이,0.7946742463909043
우니한판,매운해물짬뽕,0.7238911666045471
우니한판,진미깡,0.818106518678042
우니한판,1인사시미,0.7913424657534246
우니한판,회덮밥,0.8203054806828391
우니한판,하루토 삼합,0.7892830188679245
우니한판,연어머리구이,0.8736842105263157
우니한판,도미머리구이,0.7254693319145702
우니한판,우니추가,0.8222473818284743
왕새우 튀김,우삼겹숙주볶음,0.9337563202323881
왕새우 튀김,오늘의초밥,0.9167677993527508
왕새우 튀김,닭가라아케,0.9373372874833044
왕새우 튀김,나가사키짬뽕,0.9679993720236538
왕새우 튀김,연어사시미,0.9220334470824559
왕새우 튀김,명란구이,0.9699252921269395
왕새우 튀김,파인샤벳,0.9134905091895149
