source,target,weight
오늘의사시미,모나카,0.5
오늘의사시미,우니한판,0.5
오늘의사시미,왕새우 튀김,0.5
오늘의사시미,우삼겹숙주볶음,1.0
오늘의사시미,오늘의초밥,1.0
오늘의사시미,닭가라아케,0.5
오늘의사시미,나가사키짬뽕,0.5
오늘의사시미,연어사시미,1.0
오늘의사시미,명란구이,1.0
오늘의사시미,파인샤벳,0.5
오늘의사시미,먹태구이,0.5
오늘의사시미,육사시미,1.0
오늘의사시미,알탕,1.0
오늘의사시미,가쓰오우동,0.5
오늘의사시미,참다랑어 사시미&슈토,0.5
오늘의사시미,오뎅나베,1.0
오늘의사시미,모듬고로케,0.5
오늘의사시미,새우관자버터야끼,1.0
오늘의사시미,단새우,0.5
오늘의사시미,육회,0.5
오늘의사시미,육회덮밥,1.0
오늘의사시미,단새우&우니,1.0
오늘의사시미,타코와사비,1.0
오늘의사시미,메로구이,1.0
오늘의사시미,매운해물짬뽕,1.0
오늘의사시미,진미깡,0.5
오늘의사시미,1인사시미,0.5
오늘의사시미,회덮밥,1.0
오늘의사시미,하루토 삼합,0.3333333333333333
오늘의사시미,연어머리구이,1.0
오늘의사시미,도미머리구이,1.0
오늘의사시미,우니추가,1.0
모나카,우니한판,0.3333333333333333
모나카,왕새우 튀김,1.0
모나카,우삼겹숙주볶음,0.5
모나카,오늘의초밥,0.5
모나카,닭가라아케,1.0
모나카,나가사키짬뽕,1.0
모나카,연어사시미,0.5
모나카,명란구이,0.5
모나카,파인샤벳,1.0
모나카,먹태구이,1.0
모나카,육사시미,0.5
모나카,알탕,0.5
모나카,가쓰오우동,1.0
모나카,참다랑어 사시미&슈토,1.0
모나카,오뎅나베,0.5
모나카,모듬고로케,1.0
모나카,새우관자버터야끼,0.5
모나카,단새우,1.0
모나카,육회,1.0
모나카,육회덮밥,0.5
모나카,단새우&우니,0.5
모나카,타코와사비,0.5
모나카,메로구이,0.5
모나카,매운해물짬뽕,0.5
모나카,진미깡,1.0
모나카,1인사시미,0.3333333333333333
모나카,회덮밥,0.5
모나카,하루토 삼합,0.25
모나카,연어머리구이,0.5
모나카,도미머리구이,0.5
모나카,우니추가,0.5
우니한판,왕새우 튀김,0.3333333333333333
우니한판,우삼겹숙주볶음,0.5
우니한판,오늘의초밥,0.5
우니한판,닭가라아케,0.3333333333333333
우니한판,나가사키짬뽕,0.3333333333333333
우니한판,연어사시미,0.5
우니한판,명란구이,0.5
우니한판,파인샤벳,0.3333333333333333
우니한판,먹태구이,0.3333333333333333
우니한판,육사시미,0.5
우니한판,알탕,0.5
우니한판,가쓰오우동,0.3333333333333333
우니한판,참다랑어 사시미&슈토,0.3333333333333333
