source,target,weight
오늘의사시미,위스키,0.000691085003455425
오늘의사시미,사케,0.06288873531444368
오늘의사시미,소주,0.8686938493434693
오늘의사시미,증류소주,0.053213545266067724
오늘의사시미,맥주,0.3400138217000691
오늘의사시미,생맥주,0.16378714581893572
모나카,사케,0.029940119760479042
모나카,소주,0.9161676646706587
모나카,증류소주,0.03592814371257485
모나카,맥주,0.38323353293413176
모나카,생맥주,0.18562874251497005
우니한판,사케,0.0963855421686747
우니한판,소주,0.8674698795180723
우니한판,증류소주,0.1566265060240964
우니한판,맥주,0.3132530120481928
우니한판,생맥주,0.13253012048192772
왕새우 튀김,사케,0.05714285714285714
왕새우 튀김,소주,0.9040816326530612
왕새우 튀김,증류소주,0.04693877551020408
왕새우 튀김,맥주,0.45510204081632655
왕새우 튀김,생맥주,0.24081632653061225
우삼겹숙주볶음,위스키,0.0057306590257879654
우삼겹숙주볶음,사케,0.04297994269340974
우삼겹숙주볶음,소주,0.8968481375358166
우삼겹숙주볶음,증류소주,0.04297994269340974
우삼겹숙주볶음,맥주,0.4498567335243553
우삼겹숙주볶음,생맥주,0.1833810888252149
오늘의초밥,사케,0.04633204633204633
오늘의초밥,소주,0.7567567567567568
오늘의초밥,증류소주,0.04247104247104247
오늘의초밥,맥주,0.3938223938223938
오늘의초밥,생맥주,0.1891891891891892
닭가라아케,위스키,0.002366863905325444
닭가라아케,사케,0.04378698224852071
닭가라아케,소주,0.8781065088757396
닭가라아케,증류소주,0.040236686390532544
닭가라아케,맥주,0.4591715976331361
닭가라아케,생맥주,0.2106508875739645
나가사키짬뽕,사케,0.04257332071901608
나가사키짬뽕,소주,0.9063386944181646
나가사키짬뽕,증류소주,0.026490066225165563
나가사키짬뽕,맥주,0.402081362346263
나가사키짬뽕,생맥주,0.14947965941343425
연어사시미,사케,0.022508038585209004
연어사시미,소주,0.8906752411575563
연어사시미,증류소주,0.03858520900321544
연어사시미,맥주,0.36977491961414793
연어사시미,생맥주,0.16720257234726688
명란구이,사케,0.05846774193548387
명란구이,소주,0.8931451612903226
명란구이,증류소주,0.038306451612903226
명란구이,맥주,0.4254032258064516
명란구이,생맥주,0.22782258064516128
파인샤벳,사케,0.03896103896103896
파인샤벳,소주,0.9191919191919192
파인샤벳,증류소주,0.021645021645021644
파인샤벳,맥주,0.40115440115440115
파인샤벳,생맥주,0.1746031746031746
먹태구이,사케,0.042328042328042326
먹태구이,소주,0.6878306878306878
먹태구이,증류소주,0.015873015873015872
먹태구이,맥주,0.5661375661375662
먹태구이,생맥주,0.4074074074074074
육사시미,사케,0.05327868852459016
육사시미,소주,0.8688524590163934
육사시미,증류소주,0.07377049180327869
육사시미,맥주,0.38114754098360654
육사시미,생맥주,0.12704918032786885
알탕,사케,0.04326123128119801
알탕,소주,0.908485856905158
알탕,증류소주,0.04991680532445923
알탕,맥주,0.3826955074875208
알탕,생맥주,0.12312811980033278
가쓰오우동,위스키,0.003401360544217687
가쓰오우동,사케,0.027210884353741496
가쓰오우동,소주,0.8605442176870748
가쓰오우동,증류소주,0.04081632653061224
가쓰오우동,맥주,0.35714285714285715
가쓰오우동,생맥주,0.1598639455782313
참다랑어 사시미&슈토,위스키,0.010416666666666666
참다랑어 사시미&슈토,사케,0.10416666666666667
참다랑어 사시미&슈토,소주,0.875
참다랑어 사시미&슈토,증류소주,0.125
참다랑어 사시미&슈토,맥주,0.2916666666666667
참다랑어 사시미&슈토,생맥주,0.14583333333333334
오뎅나베,위스키,0.0023014959723820483
오뎅나베,사케,0.04602991944764097
오뎅나베,소주,0.8883774453394706
오뎅나베,증류소주,0.0333716915995397
오뎅나베,맥주,0.42462600690448793
오뎅나베,생맥주,0.1760644418872267
모듬고로케,위스키,0.003436426116838488
모듬고로케,사케,0.03436426116838488
모듬고로케,소주,0.9106529209621993
모듬고로케,증류소주,0.024054982817869417
모듬고로케,맥주,0.46048109965635736
모듬고로케,생맥주,0.21305841924398625
새우관자버터야끼,사케,0.04262295081967213
새우관자버터야끼,소주,0.8360655737704918
새우관자버터야끼,증류소주,0.04918032786885246
새우관자버터야끼,맥주,0.4163934426229508
새우관자버터야끼,생맥주,0.1540983606557377
단새우,사케,0.07633587786259542
단새우,소주,0.8702290076335878
단새우,증류소주,0.07633587786259542
단새우,맥주,0.2824427480916031
단새우,생맥주,0.17938931297709923
육회,사케,0.031914893617021274
육회,소주,0.8829787234042553
육회,증류소주,0.0425531914893617
육회,맥주,0.40425531914893614
육회,생맥주,0.1702127659574468
육회덮밥,사케,0.027522935779816515
육회덮밥,소주,0.7889908256880734
육회덮밥,증류소주,0.027522935779816515
육회덮밥,맥주,0.43119266055045874
육회덮밥,생맥주,0.1651376146788991
단새우&우니,사케,0.04081632653061224
단새우&우니,소주,0.8673469387755102
단새우&우니,증류소주,0.11224489795918367
단새우&우니,맥주,0.30612244897959184
단새우&우니,생맥주,0.17346938775510204
타코와사비,사케,0.02727272727272727
타코와사비,소주,0.8363636363636363
타코와사비,증류소주,0.04090909090909091
타코와사비,맥주,0.36363636363636365
타코와사비,생맥주,0.3
메로구이,사케,0.0625
메로구이,소주,0.876953125
메로구이,증류소주,0.037109375
메로구이,맥주,0.357421875
메로구이,생맥주,0.19140625
매운해물짬뽕,사케,0.03632478632478633
매운해물짬뽕,소주,0.9166666666666666
매운해물짬뽕,증류소주,0.021367521367521368
매운해물짬뽕,맥주,0.37393162393162394
매운해물짬뽕,생맥주,0.1282051282051282
진미깡,사케,0.05042016806722689
진미깡,소주,0.8151260504201681
진미깡,증류소주,0.04201680672268908
진미깡,맥주,0.3949579831932773
진미깡,생맥주,0.3277310924369748
