source,target,weight
단새우&우니,row_fish,1
단새우&우니,drink,0
단새우&우니,yukhoe,0
단새우&우니,fried,0
단새우&우니,fruit,0
단새우&우니,soup,0
단새우&우니,sushi,0
단새우&우니,rice_bowl,0
단새우&우니,grilled_fish,0
단새우&우니,fry,0
단새우&우니,dry,0
단새우&우니,snack,0
단새우&우니,soju_side,0
단새우&우니,side,0
단새우&우니,fish_side2,0
단새우&우니,fish_side,0
단새우&우니,soup_side,0
가쓰오우동,row_fish,0
가쓰오우동,drink,0
가쓰오우동,yukhoe,0
가쓰오우동,fried,0
가쓰오우동,fruit,0
가쓰오우동,soup,1
가쓰오우동,sushi,0
가쓰오우동,rice_bowl,0
가쓰오우동,grilled_fish,0
가쓰오우동,fry,0
가쓰오우동,dry,0
가쓰오우동,snack,0
가쓰오우동,soju_side,0
가쓰오우동,side,0
가쓰오우동,fish_side2,0
가쓰오우동,fish_side,0
가쓰오우동,soup_side,0
알탕,row_fish,0
알탕,drink,0
알탕,yukhoe,0
알탕,fried,0
알탕,fruit,0
알탕,soup,1
알탕,sushi,0
알탕,rice_bowl,0
알탕,grilled_fish,0
알탕,fry,0
알탕,dry,0
알탕,snack,0
알탕,soju_side,0
알탕,side,0
알탕,fish_side2,0
알탕,fish_side,0
알탕,soup_side,0
연어사시미,row_fish,1
연어사시미,drink,0
연어사시미,yukhoe,0
연어사시미,fried,0
연어사시미,fruit,0
연어사시미,soup,0
연어사시미,sushi,0
연어사시미,rice_bowl,0
연어사시미,grilled_fish,0
연어사시미,fry,0
연어사시미,dry,0
연어사시미,snack,0
연어사시미,soju_side,0
연어사시미,side,0
연어사시미,fish_side2,0
연어사시미,fish_side,0
연어사시미,soup_side,0
오뎅나베,row_fish,0
오뎅나베,drink,0
오뎅나베,yukhoe,0
오뎅나베,fried,0
오뎅나베,fruit,0
오뎅나베,soup,1
오뎅나베,sushi,0
오뎅나베,rice_bowl,0
오뎅나베,grilled_fish,0
오뎅나베,fry,0
오뎅나베,dry,0
오뎅나베,snack,0
오뎅나베,soju_side,0
오뎅나베,side,0
오뎅나베,fish_side2,0
오뎅나베,fish_side,0
오뎅나베,soup_side,0
메로구이,row_fish,0
메로구이,drink,0
메로구이,yukhoe,0
메로구이,fried,0
메로구이,fruit,0
메로구이,soup,0
메로구이,sushi,0
메로구이,rice_bowl,0
메로구이,grilled_fish,1
메로구이,fry,0
메로구이,dry,0
메로구이,snack,0
메로구이,soju_side,0
메로구이,side,0
메로구이,fish_side2,0
메로구이,fish_side,0
메로구이,soup_side,0
명란구이,row_fish,0
명란구이,drink,0
명란구이,yukhoe,0
명란구이,fried,0
명란구이,fruit,0
명란구이,soup,0
명란구이,sushi,0
명란구이,rice_bowl,0
명란구이,grilled_fish,1
명란구이,fry,0
명란구이,dry,0
명란구이,snack,0
명란구이,soju_side,0
명란구이,side,0
명란구이,fish_side2,0
명란구이,fish_side,0
명란구이,soup_side,0
닭가라아케,row_fish,0
닭가라아케,drink,0
닭가라아케,yukhoe,0
닭가라아케,fried,1
닭가라아케,fruit,0
닭가라아케,soup,0
닭가라아케,sushi,0
닭가라아케,rice_bowl,0
닭가라아케,grilled_fish,0
닭가라아케,fry,0
닭가라아케,dry,0
닭가라아케,snack,0
닭가라아케,soju_side,0
닭가라아케,side,0
닭가라아케,fish_side2,0
닭가라아케,fish_side,0
닭가라아케,soup_side,0
하루토 삼합,row_fish,1
하루토 삼합,drink,0
하루토 삼합,yukhoe,0
하루토 삼합,fried,0
하루토 삼합,fruit,0
하루토 삼합,soup,0
하루토 삼합,sushi,0
하루토 삼합,rice_bowl,0
하루토 삼합,grilled_fish,0
하루토 삼합,fry,0
하루토 삼합,dry,0
하루토 삼합,snack,0
하루토 삼합,soju_side,0
하루토 삼합,side,0
하루토 삼합,fish_side2,0
하루토 삼합,fish_side,0
하루토 삼합,soup_side,0
