source,target,weight
오늘의사시미,30mm 이상,0.5632342778161714
오늘의사시미,0mm,0.1686247408431237
오늘의사시미,0~3mm,0.16931582584657912
오늘의사시미,3~15mm,0.07601935038009675
오늘의사시미,15~30mm,0.022805805114029024
모나카,30mm 이상,0.5179640718562875
모나카,0mm,0.17664670658682635
모나카,0~3mm,0.15868263473053892
모나카,3~15mm,0.11976047904191617
모나카,15~30mm,0.02694610778443114
우니한판,30mm 이상,0.6265060240963856
우니한판,0mm,0.24096385542168675
우니한판,3~15mm,0.04819277108433735
우니한판,0~3mm,0.060240963855421686
우니한판,15~30mm,0.024096385542168676
왕새우 튀김,30mm 이상,0.5428571428571428
왕새우 튀김,0mm,0.19795918367346937
왕새우 튀김,0~3mm,0.15306122448979592
왕새우 튀김,3~15mm,0.0836734693877551
왕새우 튀김,15~30mm,0.022448979591836733
우삼겹숙주볶음,30mm 이상,0.5386819484240688
우삼겹숙주볶음,0mm,0.18051575931232092
우삼겹숙주볶음,3~15mm,0.11174785100286533
우삼겹숙주볶음,0~3mm,0.16045845272206305
우삼겹숙주볶음,15~30mm,0.008595988538681949
오늘의초밥,30mm 이상,0.5482625482625483
오늘의초밥,0mm,0.17374517374517376
오늘의초밥,3~15mm,0.07335907335907337
오늘의초밥,0~3mm,0.19305019305019305
오늘의초밥,15~30mm,0.011583011583011582
닭가라아케,30mm 이상,0.5597633136094674
닭가라아케,0mm,0.16923076923076924
닭가라아케,0~3mm,0.15384615384615385
닭가라아케,3~15mm,0.09940828402366864
닭가라아케,15~30mm,0.01775147928994083
나가사키짬뽕,30mm 이상,0.5534531693472091
나가사키짬뽕,0mm,0.195837275307474
나가사키짬뽕,0~3mm,0.14474929044465468
나가사키짬뽕,3~15mm,0.07757805108798486
나가사키짬뽕,15~30mm,0.02838221381267739
연어사시미,30mm 이상,0.5466237942122186
연어사시미,0mm,0.17363344051446947
연어사시미,0~3mm,0.1382636655948553
연어사시미,3~15mm,0.12218649517684887
연어사시미,15~30mm,0.01929260450160772
명란구이,30mm 이상,0.5463709677419355
명란구이,0mm,0.19153225806451613
명란구이,0~3mm,0.1592741935483871
명란구이,3~15mm,0.07459677419354839
명란구이,15~30mm,0.028225806451612902
파인샤벳,30mm 이상,0.5714285714285714
파인샤벳,0mm,0.1847041847041847
파인샤벳,3~15mm,0.10245310245310245
